Day,Hour,Month,Precip In,RH,Station,Temp F,Wind Dir,Wind Spd MPH,Year
7,0,1,0,83.33,MSP,15.08,140,10.35,2013
19,0,1,0,88.22,MSP,30.02,250,3.45,2013
27,0,1,0,59.37,MSP,23,130,9.2,2013
16,1,1,0,71.47,MSP,24.98,210,11.5,2013
7,3,1,0,71.69,MSP,26.96,170,16.1,2013
10,3,1,0,84.67,MSP,24.98,110,8.05,2013
21,3,1,0,67.83,MSP,-5.44,300,15.53,2013
7,4,1,0,74.41,MSP,26.06,180,9.2,2013
10,4,1,0,87.91,MSP,24.08,110,9.2,2013
17,4,1,0,55.01,MSP,10.04,290,6.9,2013
20,4,1,0,71.52,MSP,-0.04,290,11.5,2013
21,4,1,0,70.5,MSP,-5.89,280,13.8,2013
27,4,1,0,70.46,MSP,21.02,120,6.9,2013
17,5,1,0,49.61,MSP,10.04,280,9.2,2013
20,5,1,0,68.45,MSP,-0.04,300,5.75,2013
17,6,1,0,52.07,MSP,8.96,280,8.05,2013
20,6,1,0,68.45,MSP,-0.04,300,10.35,2013
21,6,1,0,77.12,MSP,-9.22,300,13.8,2013
7,7,1,0,71.91,MSP,28.94,220,12.65,2013
8,7,1,0,95.47,MSP,19.04,110,5.75,2013
19,7,1,0,92.19,MSP,28.94,0,0,2013
21,7,1,0,70.02,MSP,-9.67,280,13.23,2013
7,8,1,0,74.61,MSP,28.04,230,9.2,2013
13,8,1,0,79.57,MSP,1.94,290,8.05,2013
14,8,1,0,80.34,MSP,6.44,260,8.62,2013
21,8,1,0,61.83,MSP,-9.67,290,9.77,2013
26,8,1,0,69.34,MSP,6.98,0,0,2013
7,9,1,0,78,MSP,26.96,210,9.2,2013
13,9,1,0,79.57,MSP,1.94,300,8.05,2013
14,9,1,0,79.27,MSP,6.08,270,9.2,2013
7,10,1,0,74.7,MSP,28.94,210,9.2,2013
19,10,1,0,81.57,MSP,33.98,260,9.2,2013
1,11,1,0,78.53,MSP,1.67,170,2.88,2013
23,11,1,0,70.14,MSP,15.44,300,13.23,2013
12,12,1,0,66.82,MSP,14,240,17.25,2013
23,12,1,0,67.07,MSP,15.98,310,19.55,2013
12,13,1,0,63.59,MSP,14,260,18.4,2013
23,13,1,0,56.55,MSP,16.79,290,20.12,2013
18,14,1,0,61.89,MSP,41,240,10.35,2013
21,14,1,0,54.41,MSP,-4,280,13.23,2013
22,14,1,0,53.36,MSP,-0.04,250,6.9,2013
12,15,1,0,63.31,MSP,12.02,240,14.95,2013
22,15,1,0,53.54,MSP,1.04,260,4.6,2013
12,16,1,0,63.31,MSP,12.02,250,10.35,2013
5,17,1,0,67.82,MSP,21.92,250,6.9,2013
19,17,1,0,61.44,MSP,17.06,290,20.7,2013
24,17,1,0,52.07,MSP,8.96,110,11.5,2013
5,18,1,0,70.46,MSP,21.02,260,6.9,2013
19,18,1,0,56.25,MSP,14.9,300,27.02,2013
20,18,1,0,75.36,MSP,6.08,280,9.2,2013
5,19,1,0,73.77,MSP,19.94,290,6.9,2013
13,19,1,0,72.24,MSP,6.08,270,8.05,2013
14,19,1,0,66.56,MSP,12.02,190,3.45,2013
19,19,1,0,60.42,MSP,10.04,290,24.15,2013
5,20,1,0,76.66,MSP,19.04,310,10.35,2013
8,20,1,0,82.67,MSP,32,230,12.65,2013
12,20,1,0,68.89,MSP,8.06,280,9.2,2013
14,20,1,0,72.69,MSP,10.04,140,4.6,2013
5,21,1,0,83.47,MSP,17.06,300,8.05,2013
8,21,1,0,84.12,MSP,30.56,240,12.65,2013
12,21,1,0,72.34,MSP,6.98,280,10.35,2013
14,21,1,0,75.77,MSP,10.04,130,4.6,2013
6,22,1,0,83.92,MSP,14,140,10.35,2013
7,0,2,0,96.23,MSP,19.94,60,4.6,2013
18,0,2,0,71.91,MSP,28.94,130,11.5,2013
13,1,2,0,84.54,MSP,23,230,4.6,2013
18,1,2,0,74.7,MSP,28.94,130,10.35,2013
21,1,2,0,69.14,MSP,10.04,30,3.45,2013
13,2,2,0,84.47,MSP,21.92,220,4.6,2013
15,2,2,0,63.31,MSP,12.02,290,9.2,2013
16,2,2,0,79.17,MSP,5,280,4.6,2013
21,2,2,0,69.14,MSP,10.04,30,3.45,2013
24,2,2,0,87.53,MSP,17.06,220,6.9,2013
6,3,2,0,95.19,MSP,6.08,200,5.75,2013
15,3,2,0,63.69,MSP,10.94,300,11.5,2013
21,3,2,0,66.56,MSP,12.02,80,5.75,2013
4,4,2,0,90.58,MSP,6.08,360,5.75,2013
15,4,2,0,69.58,MSP,8.96,290,8.05,2013
16,4,2,0,83.8,MSP,2.57,280,3.45,2013
17,4,2,0,79.52,MSP,8.96,110,8.05,2013
4,5,2,0,90.58,MSP,6.08,360,8.05,2013
4,6,2,0,79.27,MSP,6.08,10,9.2,2013
4,7,2,0,79.17,MSP,5,350,4.6,2013
13,7,2,0,88.37,MSP,19.94,250,3.45,2013
19,7,2,0,68.96,MSP,3.92,310,16.1,2013
